"","GEOID","NAME","H13_003N","H13_004N","H13_005N","H13_006N","H13_007N","H13_008N","H13_009N","H13_010N","H13_011N"
"1","09","Connecticut",5521,70442,129467,180199,113286,111358,171771,90921,37575
"2","10","Delaware",2454,22672,36868,47180,31215,33270,59831,30692,9541
"3","11","District of Columbia",1062,15378,25964,20969,10651,10341,19548,11065,4767
"4","12","Florida",44734,391285,693337,931794,613504,644042,1245123,737464,247819
"5","13","Georgia",27608,233192,407128,526044,293083,278342,467157,231112,66457
"6","15","Hawaii",2472,17288,36154,48376,31298,35563,68452,34129,14757
"7","16","Idaho",6651,50075,79910,81712,48220,52384,95211,47945,14155
"8","17","Illinois",29438,299239,528774,620265,362548,365895,592490,313266,118672
"9","18","Indiana",25363,196761,291413,335046,199859,205527,337914,173455,59144
"10","19","Iowa",13252,103645,148250,154172,95870,100789,169401,88249,33169
"11","20","Kansas",9609,79106,123976,130663,82433,86551,142846,71069,25690
"12","21","Kentucky",16702,118512,177929,217458,132555,136191,234671,121231,39316
"13","22","Louisiana",16342,119566,187238,208797,132680,139324,233891,119827,41976
"14","23","Maine",3989,34203,55072,72521,48762,51973,90371,43178,14045
"15","24","Maryland",10243,131097,240343,301507,184461,177039,278590,138689,47617
"16","25","Massachusetts",9163,131272,247454,330829,203241,198123,319828,158416,61716
"17","26","Michigan",30917,286374,422751,523949,323227,336654,552837,284353,104243
"18","27","Minnesota",15464,176545,281714,291813,180471,181101,281549,136923,44841
"19","28","Mississippi",10917,69236,114094,142015,88284,92149,159876,84832,28143
"20","29","Missouri",20396,169351,254499,284158,182739,187978,313059,167678,56687
"21","30","Montana",3379,27652,45071,47207,31751,37388,67073,32067,9777
"22","31","Nebraska",6075,58260,87783,87306,53617,56132,93606,46850,17392
"23","32","Nevada",7496,63785,105563,124463,72050,73277,134898,69483,17534
"24","33","New Hampshire",2635,32629,53192,74621,50369,51183,79913,36370,11361
"25","34","New Jersey",10904,151125,317421,429667,258203,249715,386556,208768,86141
"26","35","New Mexico",7665,50630,79571,91286,61414,66946,121541,61058,19928
"27","36","New York",32589,299338,567829,760773,476173,474819,769399,405813,168245
"28","37","North Carolina",29690,248500,409350,520399,298331,300293,532137,275557,87152
"29","38","North Dakota",2912,26188,34879,32492,20898,22956,35377,17020,6109
"30","39","Ohio",33361,301961,464844,567433,350484,371149,619373,319776,117303
"31","40","Oklahoma",14835,104595,157955,167629,105794,112354,191977,103722,34062
"32","41","Oregon",8124,83729,161826,179964,103782,116881,231188,112238,34155
"33","42","Pennsylvania",26539,306583,509059,644600,402103,424766,700641,356099,135388
"34","44","Rhode Island",1948,22581,37313,48805,31930,32406,51658,25107,10149
"35","45","South Carolina",16581,131803,203473,250728,153352,160883,306553,159192,46446
"36","46","South Dakota",3455,27656,39304,38442,25408,27385,45105,21052,7149
"37","47","Tennessee",21649,174001,266354,331792,197968,202689,356619,188628,58175
"38","48","Texas",73065,645947,1153570,1302671,711911,698191,1118046,547887,173527
"39","49","Utah",12016,97445,158384,134004,66704,68804,113790,58372,19866
"40","50","Vermont",1546,15124,25928,33457,22398,24186,41424,19503,6475
"41","51","Virginia",18797,190481,340050,420735,251776,245606,406106,211031,69530
"42","53","Washington",15935,178855,312820,343225,201006,209072,363551,172458,52771
"43","54","West Virginia",7825,46315,73215,93134,56204,62874,117184,61193,21982
"44","55","Wisconsin",15494,157763,252659,292435,187616,191509,308913,151565,52611
"45","56","Wyoming",2574,17828,26750,26044,16698,19795,32976,15501,4818
"46","72","Puerto Rico",7889,50562,118806,170470,102220,106595,207479,131139,45495
"47","01","Alabama",19658,128509,195053,246124,150329,156161,271688,146385,47721
"48","02","Alaska",2374,19731,30518,32002,19956,20857,31794,11922,2854
"49","04","Arizona",19432,155893,254111,299631,182250,197088,386166,212948,59766
"50","05","Arkansas",11719,76262,115316,135381,84351,86512,156130,86620,26969
"51","06","California",51002,523185,1128646,1439211,855911,860257,1439591,755328,295198
"52","08","Colorado",14093,156712,261236,277675,156205,161446,270246,121359,37820
