"","GEOID","NAME","H13_013N","H13_014N","H13_015N","H13_016N","H13_017N","H13_018N","H13_019N","H13_020N","H13_021N"
"1","09","Connecticut",29373,116714,96248,82151,42580,38885,54542,29456,17580
"2","10","Delaware",8634,26938,22275,17535,8928,8240,11781,5720,2601
"3","11","District of Columbia",16753,70739,36007,21310,11534,11025,15770,6890,2675
"4","12","Florida",218572,670113,598516,516884,243997,208253,296816,152389,74425
"5","13","Georgia",130953,388214,311529,245011,109681,94915,130027,57055,23300
"6","15","Hawaii",12405,41707,41166,33751,16383,15951,24582,10756,5077
"7","16","Idaho",27582,51301,37778,27435,12965,11892,17588,9108,4294
"8","17","Illinois",141169,466262,344857,270737,130895,121283,165111,81967,45527
"9","18","Indiana",97949,208856,153410,124510,62674,57667,78064,38815,21115
"10","19","Iowa",53833,93472,63842,48680,25926,24600,34686,20832,15892
"11","20","Kansas",52444,100605,71411,53457,27583,25855,35618,19617,12827
"12","21","Kentucky",64131,141979,111727,95409,48609,43937,59304,27038,11238
"13","22","Louisiana",58721,154752,127901,94697,48535,45880,63581,26868,11034
"14","23","Maine",13753,37399,28400,24042,13254,12849,20189,11997,6440
"15","24","Maryland",53882,201923,169743,132181,63652,55263,75955,38330,20693
"16","25","Massachusetts",71661,275625,195250,162611,84976,78496,118239,66168,36157
"17","26","Michigan",116693,290742,200501,175822,88746,86060,120830,60062,36999
"18","27","Minnesota",72414,175622,117009,85447,43676,40914,59486,38615,30386
"19","28","Mississippi",33267,85749,74130,59004,28924,27739,37680,16045,6109
"20","29","Missouri",93325,209632,149254,118865,63486,59997,81893,42962,23187
"21","30","Montana",17998,36020,25308,18804,10483,10367,15066,7869,4532
"22","31","Nebraska",34217,68695,47020,34876,18056,16945,23128,13357,9997
"23","32","Nevada",36092,117332,105122,88678,40146,36447,54226,23226,7831
"24","33","New Hampshire",11487,38019,27747,25459,14165,12881,18702,10281,5343
"25","34","New Jersey",55875,297931,280165,234181,113909,99958,137744,71695,36144
"26","35","New Mexico",25413,63675,51167,40210,21047,19716,29645,12925,5677
"27","36","New York",204959,862750,724288,612900,313050,287119,422541,225173,107414
"28","37","North Carolina",137064,372990,278087,229825,108494,97305,138601,66319,30762
"29","38","North Dakota",21309,34325,20357,14251,7605,7118,9102,5547,4108
"30","39","Ohio",163856,404778,293784,247046,128822,124181,171406,83480,45736
"31","40","Oklahoma",64963,135287,102887,78498,38913,35986,49478,24403,12492
"32","41","Oregon",58759,167135,128505,91267,42075,39949,61838,31301,19267
"33","42","Pennsylvania",134548,417384,293334,243174,129124,123690,186604,110315,66647
"34","44","Rhode Island",11579,40329,31670,27828,14919,14459,21343,11169,6081
"35","45","South Carolina",60200,149540,116105,97737,48681,44827,63112,28103,11596
"36","46","South Dakota",15551,26761,19095,14371,8006,7694,11690,7141,5295
"37","47","Tennessee",97186,244036,178786,145961,70449,63780,87878,40060,16936
"38","48","Texas",409338,1128036,856625,631878,273001,235472,317531,145722,68729
"39","49","Utah",53784,97122,65357,42078,17375,15007,20897,10482,5765
"40","50","Vermont",7487,19986,13917,11343,6425,6079,9050,4849,2713
"41","51","Virginia",109845,310536,234079,178980,85063,74527,99515,49251,25310
"42","53","Washington",106791,319763,228424,158596,71990,65883,95865,49020,28667
"43","54","West Virginia",22441,43644,35162,31045,16359,15906,23433,11143,4383
"44","55","Wisconsin",90867,202941,140673,110640,59715,55309,80545,46586,30520
"45","56","Wyoming",9928,17407,13010,9647,5111,5085,6829,3267,1697
"46","72","Puerto Rico",21298,82257,78374,67872,33663,31889,50891,25982,7653
"47","01","Alabama",71721,153819,121652,100311,49875,46673,64463,29341,12464
"48","02","Alaska",10454,27397,19011,13685,7487,6729,8532,2939,906
"49","04","Arizona",94245,232988,180566,147423,68466,61251,88882,43477,21295
"50","05","Arkansas",48156,101146,79070,62552,31550,29013,39651,19876,9121
"51","06","California",360270,1492926,1370726,1079252,467822,400781,559023,266487,130007
"52","08","Colorado",85286,247503,155506,108875,49498,45433,62592,29448,16882
